index,animated,cases,grammatical,positions,sentence,template
0,False,NDA,True,123,"Es steht fest, dass der Polizist dem Fahrer den Führerschein abnimmt.",0
1,False,NAD,True,123,"Es steht fest, dass der Polizist den Fahrer dem Führerschein abnimmt.",0
2,False,DNA,True,123,"Es steht fest, dass dem Polizisten der Fahrer den Führerschein abnimmt.",0
3,False,DAN,True,123,"Es steht fest, dass dem Polizisten den Fahrer der Führerschein abnimmt.",0
4,False,AND,True,123,"Es steht fest, dass den Polizisten der Fahrer dem Führerschein abnimmt.",0
5,False,ADN,True,123,"Es steht fest, dass den Polizisten dem Fahrer der Führerschein abnimmt.",0
6,False,NDA,True,213,"Es steht fest, dass der Fahrer dem Polizisten den Führerschein abnimmt.",0
7,False,NAD,True,213,"Es steht fest, dass der Fahrer den Polizisten dem Führerschein abnimmt.",0
8,False,DNA,True,213,"Es steht fest, dass dem Fahrer der Polizist den Führerschein abnimmt.",0
9,False,DAN,True,213,"Es steht fest, dass dem Fahrer den Polizisten der Führerschein abnimmt.",0
10,False,AND,True,213,"Es steht fest, dass den Fahrer der Polizist dem Führerschein abnimmt.",0
11,False,ADN,True,213,"Es steht fest, dass den Fahrer dem Polizisten der Führerschein abnimmt.",0
12,False,NDA,True,132,"Es steht fest, dass der Polizist dem Führerschein den Fahrer abnimmt.",0
13,False,NAD,True,132,"Es steht fest, dass der Polizist den Führerschein dem Fahrer abnimmt.",0
14,False,DNA,True,132,"Es steht fest, dass dem Polizisten der Führerschein den Fahrer abnimmt.",0
15,False,DAN,True,132,"Es steht fest, dass dem Polizisten den Führerschein der Fahrer abnimmt.",0
16,False,AND,True,132,"Es steht fest, dass den Polizisten der Führerschein dem Fahrer abnimmt.",0
17,False,ADN,True,132,"Es steht fest, dass den Polizisten dem Führerschein der Fahrer abnimmt.",0
18,False,NDA,True,231,"Es steht fest, dass der Fahrer dem Führerschein den Polizisten abnimmt.",0
19,False,NAD,True,231,"Es steht fest, dass der Fahrer den Führerschein dem Polizisten abnimmt.",0
20,False,DNA,True,231,"Es steht fest, dass dem Fahrer der Führerschein den Polizisten abnimmt.",0
21,False,DAN,True,231,"Es steht fest, dass dem Fahrer den Führerschein der Polizist abnimmt.",0
